icomeaning,tot
https://w3id.org/iicongraph/data/promotionOfFashion,344
https://w3id.org/iicongraph/data/promotionOfSportsAssociations,341
https://w3id.org/iicongraph/data/promotionOfInsurance,341
https://w3id.org/iicongraph/data/promotionOfConferences,336
https://w3id.org/iicongraph/data/promotionOfArtExhibition,335
https://w3id.org/iicongraph/data/promotionOfMechanicalEngineering,322
https://w3id.org/iicongraph/data/promotionOfFolklore,321
https://w3id.org/iicongraph/data/promotionOfSecondWorldWar,314
https://w3id.org/iicongraph/data/promotionOfTourismPromotionAssociations,306
https://w3id.org/iicongraph/data/promotionOfPersonalHygiene,303
https://w3id.org/iicongraph/data/promotionOfWarPropaganda,301
https://w3id.org/iicongraph/data/promotionOfDaily,297
https://w3id.org/iicongraph/data/promotionOfPharmaceuticalIndustry,296
https://w3id.org/iicongraph/data/promotionOfAirplaneTransport,285
https://w3id.org/iicongraph/data/promotionOfManufacturingIndustry,284
https://w3id.org/iicongraph/data/promotionOfFestival,269
https://w3id.org/iicongraph/data/promotionOfCatholicReligion,260
https://w3id.org/iicongraph/data/promotionOfProse,253
https://w3id.org/iicongraph/data/promotionOfChocolate,252
https://w3id.org/iicongraph/data/promotionOfBook,250
https://w3id.org/iicongraph/data/promotionOfRubberIndustry,247
https://w3id.org/iicongraph/data/promotionOfOpera,246
https://w3id.org/iicongraph/data/promotionOfAirlineCompany,246
https://w3id.org/iicongraph/data/promotionOfSpecialWines,245
https://w3id.org/iicongraph/data/promotionOfFarm,229
https://w3id.org/iicongraph/data/promotionOfRegionalAdministration,229
https://w3id.org/iicongraph/data/promotionOfSoapsAndDetergents,223
https://w3id.org/iicongraph/data/promotionOfSportingEvents,220
https://w3id.org/iicongraph/data/promotionOfMarketExhibitions,219
https://w3id.org/iicongraph/data/promotionOfConcert,219
https://w3id.org/iicongraph/data/promotionOfArmedForces,217
https://w3id.org/iicongraph/data/promotionOfNationalDefense,216
https://w3id.org/iicongraph/data/promotionOfDepartmentStores,212
https://w3id.org/iicongraph/data/promotionOfBitter,210
https://w3id.org/iicongraph/data/promotionOfSkis,207
https://w3id.org/iicongraph/data/promotionOfBreeding,206
https://w3id.org/iicongraph/data/promotionOfLake,203
https://w3id.org/iicongraph/data/promotionOfOilIndustry,202
https://w3id.org/iicongraph/data/promotionOfCar,199
https://w3id.org/iicongraph/data/promotionOfSweets,198
https://w3id.org/iicongraph/data/promotionOfVermouth,195
https://w3id.org/iicongraph/data/promotionOfCruises,194
https://w3id.org/iicongraph/data/promotionOfAnticommunistPropaganda,193
https://w3id.org/iicongraph/data/promotionOfCity,191
